acq_date,apco_rev_post,apco_rev_repro,auco_rev_veg,awco_rev,awpr_repro,blco_rev_veg,blpub_veg,blsco_rev_veg,box_code,cco_rev_veg,cnthph,cntnull,cntrep,cntveg,country_origin,cropyear,cuan_repro,cudi_code_repro,cudi_repro,cult_code_repro,cult_repro,cuno_code_repro,cuno_repro,cust_repro,date_head_1stflow,date_head_80,date_seed,date_update,dna_gid,endo,fla_repro,grlt,grwd,grwt100,gs_accno,hdg_80head,inco_rev_repro,iris_unique_id,la,ligco_rev_veg,liglt,ligsh,llt,llt_code,lpco_rev_post,lppub,lsen,lwd,mls_proc,noco_rev,ori_country,pa_repro,pex_repro,plt_code_post,plt_post,pop_code,psh,pth,pty,scco_rev,sdht,sdht_code,second_br_repro,slco_rev,sllt_code,sound_reid,sound_var,source_accno,species_coll,species_reid,spkf,spp_code,ss_country,ss_station,status_acc,subpopulation,subpopulation_v2,variety_gid,variety_type,wcnthph,wcntnull,wcntrep,wcntveg
Acqusition date (DD-MON-YYYY),Apiculus color at post-harvest,Apiculus color at reproductive,Auricle color at vegetative,Awn color,Awn presence at reproductive,Blade color at vegetative,Blade pubescence at vegetative,Basal leafsheath color at vegetative,ID assigned to DNA.,Collar color at vegetative - cultivated,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,Country of origin (ISO Standard),Crop Year,Culm angle at reproductive,Culm diam. of basal internode at reproductive,Culm diameter (mm) of basal internode at repro.,Culm length at reproductive,Culm length (cm) at reproductive,Culm number (code) at reproductive - cultivated,Culm number (count) at reproductive - cultivated,Culm strength at reproductive - cultivated,Date at first flowering,Date when plants are 80% fully headed-cultivated,Date of seeding,GRIMS Morpho-Agron data field,GID assigned to the individual plant where the genomic dna for resequencing was isolated.,Endosperm type,Flag leaf angle at reproductive - cultivated,Grain length (mm),Grain Width(mm),100-grain weight (gm) - cultivated,GS Accession Number,Heading (days to 80% fully headed) - cultivated,Internode color at reproductive - cultivated,Unique ID assigned by the International Rice Information System.,Leaf angle - cultivated,Ligule color at vegetative - cultivated,Ligule length (mm) - cultivated,Ligule shape,Leaf length (cm) - cultivated,Leaf length - cultivated,Lemma and palea color at post-harvest,Lemma and palea pubescence,Leaf senescence,Leaf width (cm) - cultivated,Current status of accession in relation to agreement with the Governing Body of the International Treaty on Plant Genetic Resources for Food and Agriculture,Node color,Source Country,Panicle axis at reproductive,Panicle exsertion at reproductive,Panicle length at post-harvest,Panicle length (cm) at post-harvest,Sub-population within a sample,Panicle shattering,Panicle threshability,Panicle type,Sead coat color,Seedling height (cm),Seedling height,Secondary branching at reproductive,Sterile lemma color,Sterile lemma length,Reid Soundex code,Varname soundex code,IRGC Accession number,Scientific name given by collector/donor,Scientific name,Spikelet fertility,Species code,Donating country,Donating institute/station,Status of germplasm,subpopulation (variety grouping),subpopulation (version 2),GID assigned to the rice variety.,variety group,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field,GRIMS Morpho-Agron data field
2011-05-01 00:00:00,,80,80,,,60,3,84,AY31,80,12,35,17,6,Indonesia,,7,2,6,5,130,2,20,9,,,,,3364122,1,5,9.7,2.8,2.7,127098,118,60,IRIS 313-10550,,80,15,,65,4,20,,9,1.6,Y,,,,1,4,33,A,,5,9,10,26,1,,,5,O.SDB,221B36-1-1-1-1::RGC7585-1,6865,O. sativa,O. sativa,3,S,PHL,288,AV,indx,indx,4056479,Indica,8,18,7,3
2011-05-01 00:00:00,,80,80,,,60,3,80,AY47,80,12,35,17,6,Indonesia,,7,2,5,5,114,3,25,1,,,,,3364106,1,5,9.4,3.1,2.7,127099,127,80,IRIS 313-10566,,80,16,,52,3,20,,9,1.3,Y,,,,1,3,29,A,,5,9,10,36,2,,,5,O.SDB,221C391-1-3-3::RGC7600-1,7600,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,indx,4056478,Indica,8,18,7,3
2011-05-01 00:00:00,70,80,80,,,86,3,84,AT49,80,15,44,21,8,Indonesia,1996WS,1,2,5,7,114,2,25,3,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3362647,1,1,9.1,3.1,2.5,131962,136,80,IRIS 313-12027,5,84,16,2,52,4,54,4,5,1.3,Y,60,,2,1,4,29,A,1,5,7,70,36,3,1,80,3,O.SDB,221C391-1-3-3::RGC7600-1,80233,O. sativa,O. sativa,3,S,PHL,288,AV,ind3,ind3,4056478,Indica,9,21,9,3
2011-05-01 00:00:00,70,10,61,,,60,3,60,BA51,60,12,36,18,6,Indonesia,1996WS,3,2,5,6,140,2,12,9,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363914,1,3,9.5,3.9,2.8,132386,77,60,IRIS 313-10758,5,11,16,2,50,3,90,4,1,1.6,Y,60,,2,1,3,24,A,1,1,5,80,61,3,1,20,3,O.SDB,221C391-1-3-3::RGC7600-1,17142,O. sativa,O. sativa,3,S,PHL,288,AV,trop,trop1,4056478,Tropical japonica,8,18,7,3
2011-05-01 00:00:00,70,10,61,,,60,3,60,AH85,60,12,36,18,6,Indonesia,1996WS,3,2,6,6,140,2,12,9,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3304929,1,5,8.7,2.9,2.3,132386,134,60,IRIS 313-8922,5,11,28,2,82,5,54,4,1,1.9,Y,60,,2,1,4,31,A,1,5,5,10,25,1,1,20,3,O.SDB,221C391-1-3-3::RGC7600-1,24532,O. sativa,O. sativa,3,S,PHL,288,AV,ind2,ind2,4056478,Indica,8,18,7,3
2011-05-01 00:00:00,70,80,61,40,5,63,3,84,BA31,60,12,36,18,6,Indonesia,1996WS,1,2,5,6,146,2,10,1,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363934,1,5,7.4,3.2,2.6,131965,106,60,IRIS 313-10738,5,11,24,2,74,4,20,4,1,2.1,Y,60,,2,1,4,34,A,1,1,1,10,35,2,1,20,3,O.SDB,221C391-1-3-3::RGC7600-1,16339,O. sativa,O. sativa,3,S,PHL,288,AV,admx,admix,4056478,Intermediate type,8,18,7,3
2012-05-01 00:00:00,70,10,61,20,5,60,3,60,BA52,60,12,36,18,6,Indonesia,1996WS,3,2,5,4,94,2,13,9,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363913,1,5,9.6,3.3,2.7,127927,127,60,IRIS 313-10759,5,11,20,2,61,4,20,4,1,1.2,Y,60,,2,1,4,33,A,1,5,5,10,50,2,1,20,3,O.SDB,AMDL::RGC17153-2,17153,O. sativa,O. sativa,3,S,PHL,288,AV,trop,trop1,4055189,Japonica,8,18,7,3
2011-05-01 00:00:00,70,20,61,20,5,63,1,60,AN76,61,14,42,20,8,Indonesia,1996WS,1,1,4,5,111,2,13,1,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3363177,1,5,8.7,3.4,3.1,128217,89,60,IRIS 313-11495,4,11,14,2,50,3,20,1,1,1.2,Y,60,,2,3,3,25,A,1,5,5,10,26,1,1,20,3,O.SDB,AM::RGC54140-1,54140,O. sativa,O. sativa,1,S,PHL,288,AV,trop,trop1,4056026,Japonica,9,21,9,3
1978-07-31 00:00:00,70,20,61,20,5,60,3,60,AC34,61,14,42,20,8,Indonesia,1996WS,2,2,5,6,143,2,15,1,1996-10-16 00:00:00,1996-10-19 00:00:00,1996-06-05 00:00:00,,3305060,1,5,8.6,2.7,1.8,117423,120,60,IRIS 313-8791,2,11,28,2,59,3,20,2,1,1.5,Y,60,IDN,2,1,3,25,A,1,9,5,10,51,2,1,20,3,O.SDB,AM::RGC54140-1,43322,O. sativa,O. sativa,3,S,IDN,004,AV,ind3,ind3,345037,Indica,9,21,9,3
